task_id,variant,correct,pd_runtime,pd_memory,pd_flops,pd_energy
cache_with_expiry,deepseek-coder_6_7b_baseline,1,-0.004281902545609313,4.270702765493576e-05,0.0,0.007812500000000007
cache_with_expiry,deepseek-coder_6_7b_cot_then_optimize,1,-0.005800315259945213,-4.270702765493576e-05,0.0,-0.009765625000000009
cache_with_expiry,deepseek-coder_6_7b_eff_from_scratch,1,-0.01090824583520601,-4.270702765493576e-05,0.0,-0.01171875000000001
cache_with_expiry,deepseek-coder_6_7b_tagged_explained,1,-0.019660340463821153,4.270702765493576e-05,0.0,-0.03125000000000003
cache_with_expiry,qwen2_5-coder_7b_baseline,1,0.004281902545609125,-4.270702765493576e-05,0.0,-0.007812500000000007
cache_with_expiry,qwen2_5-coder_7b_cot_then_optimize,1,0.01102006688454795,-4.270702765493576e-05,0.0,0.0019531250000000017
cache_with_expiry,qwen2_5-coder_7b_eff_from_scratch,1,-0.03271505626307664,-1.2578016842228137,0.0,-0.02539062500000002
cache_with_expiry,qwen2_5-coder_7b_tagged_explained,1,0.021498166838345278,-4.270702765493576e-05,0.0,-0.005859375000000005
inefficient_sort,deepseek-coder_6_7b_baseline,1,-0.07694289561827691,-0.07043931496649293,0.0,0.0039062500000000035
inefficient_sort,deepseek-coder_6_7b_cot_then_optimize,1,-0.023138064105939875,-0.07043931496649293,0.0,-0.06445312500000006
inefficient_sort,deepseek-coder_6_7b_eff_from_scratch,1,0.713783103569438,-0.2509307520476545,-1.7062146892655368,-2.953125
inefficient_sort,deepseek-coder_6_7b_tagged_explained,1,0.09429295664943392,-0.07043931496649293,0.0,-0.041015625000000035
inefficient_sort,qwen2_5-coder_7b_baseline,1,0.07694289561827691,0.07043931496649293,0.0,-0.0039062500000000035
inefficient_sort,qwen2_5-coder_7b_cot_then_optimize,1,0.09829247866065459,0.07043931496649293,0.0,0.0019531250000000017
inefficient_sort,qwen2_5-coder_7b_eff_from_scratch,1,0.10233978178375482,0.09843633655994043,0.0,-0.0039062500000000035
inefficient_sort,qwen2_5-coder_7b_tagged_explained,1,0.1003418284804719,-0.07043931496649293,0.0,-0.05468750000000005
json_data_normalizer,deepseek-coder_6_7b_baseline,0,0.0,0.0,0.0,0.0
json_data_normalizer,deepseek-coder_6_7b_cot_then_optimize,1,0.0031799192446788447,-5.452033182436956e-05,0.0,-0.08276533592989285
json_data_normalizer,deepseek-coder_6_7b_eff_from_scratch,0,0.0,0.0,0.0,-0.0
json_data_normalizer,deepseek-coder_6_7b_tagged_explained,0,-0.0,0.0,0.0,-0.0
json_data_normalizer,qwen2_5-coder_7b_baseline,0,-0.0,-0.0,0.0,-0.0
json_data_normalizer,qwen2_5-coder_7b_cot_then_optimize,0,-0.0,-0.0,0.0,-0.0
json_data_normalizer,qwen2_5-coder_7b_eff_from_scratch,0,-0.0,-0.0,0.0,-0.0
json_data_normalizer,qwen2_5-coder_7b_tagged_explained,0,-0.0,-0.0,0.0,-0.0
log_file_parser,deepseek-coder_6_7b_baseline,1,0.010696745137172942,0.0001253882896800706,0.0,0.0024449877750610366
log_file_parser,deepseek-coder_6_7b_cot_then_optimize,1,-0.12772821529778727,0.0001253882896800706,0.0,-0.04319478402607982
log_file_parser,deepseek-coder_6_7b_eff_from_scratch,0,0.0,0.0,0.0,-0.0
log_file_parser,deepseek-coder_6_7b_tagged_explained,1,0.023022643505065127,1.892653429133141e-05,0.0,0.015484922575387049
log_file_parser,qwen2_5-coder_7b_baseline,1,-0.010696745137173086,-0.0001253882896800706,0.0,-0.0024449877750612175
log_file_parser,qwen2_5-coder_7b_cot_then_optimize,1,0.002626304013367716,-0.0001253882896800706,0.0,0.008964955175224042
log_file_parser,qwen2_5-coder_7b_eff_from_scratch,1,-0.08729086317483206,-0.00012065665610723774,0.0,0.05297473512632433
log_file_parser,qwen2_5-coder_7b_tagged_explained,1,-0.019113837478971905,-0.00012065665610723774,0.0,0.044824775876120576
modular_example,deepseek-coder_6_7b_baseline,1,-0.07110032550639055,0.0,0.0,0.0009182736455462718
modular_example,deepseek-coder_6_7b_cot_then_optimize,1,-0.02888761513856111,-0.23529411764705882,0.6295247088448221,-0.013774104683195707
modular_example,deepseek-coder_6_7b_eff_from_scratch,1,0.13988016544229556,-2.764705882352941,-0.9442241107963487,-0.021120293847566696
modular_example,deepseek-coder_6_7b_tagged_explained,1,0.021579398876487063,0.0,0.0,-0.03581267217630867
modular_example,qwen2_5-coder_7b_baseline,1,0.07110032550639035,0.0,0.0,-0.0009182736455464756
modular_example,qwen2_5-coder_7b_cot_then_optimize,1,0.06373493820707266,0.0,0.0,-0.0523415977961434
modular_example,qwen2_5-coder_7b_eff_from_scratch,1,0.08631843384037136,0.0,0.0,-0.033976124885215925
modular_example,qwen2_5-coder_7b_tagged_explained,1,0.10667619067770355,0.0,0.0,-0.010101010101010213
unit_test_gen,deepseek-coder_6_7b_baseline,1,-0.07430805534070693,0.0,0.0,0.026615969581749072
unit_test_gen,deepseek-coder_6_7b_cot_then_optimize,1,0.0333764793188153,0.0,0.0,-0.04182509505703426
unit_test_gen,deepseek-coder_6_7b_eff_from_scratch,1,0.04642520946456745,0.0,0.0,-0.03231939163498081
unit_test_gen,deepseek-coder_6_7b_tagged_explained,1,-0.028226194062493527,0.0,0.0,0.017110266159695832
unit_test_gen,qwen2_5-coder_7b_baseline,1,0.07430805534070707,0.0,0.0,-0.026615969581749072
unit_test_gen,qwen2_5-coder_7b_cot_then_optimize,1,-0.0025413512203349823,0.0,0.0,0.0
unit_test_gen,qwen2_5-coder_7b_eff_from_scratch,1,0.04663158065025292,0.0,0.0,-0.03802281368821296
unit_test_gen,qwen2_5-coder_7b_tagged_explained,1,0.05858112189597672,0.0,0.0,-0.04182509505703426
